"=== Dataset adult, method bench_scalability ==="
,Reconstr. Error,,Reconstruction,Times (s),,,,
#examples,Avg,Std,Avg,Std,Min,Max,RF Error
25,0.0,0.0,9.1,2.9,6.2,14.6,0.952,0.709
50,0.0,0.0,37.0,4.4,29.2,42.8,0.964,0.748
100,0.0,0.0,188.2,58.0,117.4,278.3,0.964,0.770
200,0.0,0.0,631.7,110.8,513.2,838.6,0.949,0.767
300,0.1,0.1,4860.4,2457.7,1430.2,7695.8,0.935,0.771
400,0.1,0.1,6119.3,2365.6,2304.4,8054.8,0.925,0.778
500,0.1,0.1,6523.6,1558.4,4695.4,8429.2,0.913,0.779
750,0.0,0.0,13911.5,5146.7,8764.9,19058.2,0.905,0.780
best_fct_fit=,-376.64+1.28*x**1.41
