"=== Dataset compas, method bench_scalability ==="
,Reconstr. Error,,Reconstruction,Times (s),,,,
#examples,Avg,Std,Avg,Std,Min,Max,RF Error
25,0.0,0.0,5.8,1.1,4.1,7.4,0.896,0.559
50,0.0,0.0,30.5,5.8,26.6,42.0,0.860,0.556
100,0.0,0.0,84.1,12.0,65.8,99.1,0.800,0.582
200,0.0,0.0,260.9,28.6,231.2,300.2,0.770,0.617
300,0.0,0.0,467.9,80.2,386.1,621.9,0.759,0.629
400,0.0,0.0,699.9,52.5,602.3,754.1,0.741,0.632
500,0.0,0.0,1071.9,197.0,883.9,1448.7,0.734,0.639
750,0.0,0.0,2219.4,428.4,1711.9,2818.9,0.725,0.643
1000,0.0,0.0,3678.8,231.0,3300.8,4005.0,0.714,0.642
1500,0.0,0.0,7362.2,1097.0,6485.9,9519.5,0.704,0.650
best_fct_fit=,7.72+0.02*x**1.74
