"=== Dataset default_credit, method bench_scalability ==="
,Reconstr. Error,,Reconstruction,Times (s),,,,
#examples,Avg,Std,Avg,Std,Min,Max,RF Error
25,0.0,0.0,6.7,1.5,4.0,8.1,0.968,0.733
50,0.0,0.0,42.1,3.5,37.8,47.3,0.976,0.723
100,0.0,0.0,148.3,16.6,127.6,169.4,0.972,0.740
200,0.0,0.0,905.6,528.1,584.1,1958.1,0.965,0.751
300,0.0,0.0,2369.8,1167.5,1316.7,4524.4,0.957,0.763
400,0.0,0.0,2733.2,581.5,2065.6,3706.5,0.952,0.760
500,0.0,0.1,6119.9,1880.1,3902.8,8671.4,0.947,0.765
best_fct_fit=,90.73+0.00*x**2.38
